Date,Entity,Value
2020-07-22,PORTFOLIO,9290.901952454613
2020-07-23,PORTFOLIO,9210.193906509014
2020-07-24,PORTFOLIO,9140.93811594445
2020-07-27,PORTFOLIO,9183.744772103464
2020-07-28,PORTFOLIO,9112.64388575981
2020-07-29,PORTFOLIO,9252.767860797507
2020-07-30,PORTFOLIO,9137.740542737503
2020-07-31,PORTFOLIO,9179.48679396619
2020-08-03,PORTFOLIO,9268.40474441479
2020-08-04,PORTFOLIO,9309.565500628358
2020-08-05,PORTFOLIO,9381.822733785859
2020-08-06,PORTFOLIO,9394.894253790399
2020-08-07,PORTFOLIO,9416.980534716322
2020-08-10,PORTFOLIO,9482.841593801817
2020-08-11,PORTFOLIO,9436.642912319636
2020-08-12,PORTFOLIO,9551.080888737153
2020-08-13,PORTFOLIO,9496.72635276325
2020-08-14,PORTFOLIO,9517.369355284312
2020-08-17,PORTFOLIO,9504.63350424059
2020-08-18,PORTFOLIO,9479.024614840726
2020-08-19,PORTFOLIO,9440.131323256068
2020-08-20,PORTFOLIO,9406.73181627096
2020-08-21,PORTFOLIO,9423.458733451671
2020-08-24,PORTFOLIO,9546.961835776552
2020-08-25,PORTFOLIO,9554.75427166282
2020-08-26,PORTFOLIO,9560.930078151094
2020-08-27,PORTFOLIO,9617.779150924867
2020-08-28,PORTFOLIO,9693.348398603956
2020-08-31,PORTFOLIO,9632.168713074921
2020-09-01,PORTFOLIO,9662.262881104618
2020-09-02,PORTFOLIO,9764.533368181892
2020-09-03,PORTFOLIO,9488.556843705634
2020-09-04,PORTFOLIO,9441.455505369755
2020-09-08,PORTFOLIO,9156.105276594062
2020-09-09,PORTFOLIO,9315.545425603194
2020-09-10,PORTFOLIO,9118.104355160904
2020-09-11,PORTFOLIO,9126.583814695721
2020-09-14,PORTFOLIO,9254.204397297177
2020-09-15,PORTFOLIO,9245.658328691748
2020-09-16,PORTFOLIO,9301.800309549018
2020-09-17,PORTFOLIO,9247.271400435113
2020-09-18,PORTFOLIO,9166.887238554184
2020-09-21,PORTFOLIO,9021.147565502659
2020-09-22,PORTFOLIO,9030.534329173053
2020-09-23,PORTFOLIO,8791.795744617602
2020-09-24,PORTFOLIO,8800.740432861545
2020-09-25,PORTFOLIO,8916.571805145717
2020-09-28,PORTFOLIO,9080.878094968526
2020-09-29,PORTFOLIO,8989.98487569812
2020-09-30,PORTFOLIO,9066.275146011289
2020-10-01,PORTFOLIO,9038.152084123478
2020-10-02,PORTFOLIO,8990.331633115558
2020-10-05,PORTFOLIO,9182.163406735104
2020-10-06,PORTFOLIO,9057.281917962722
2020-10-07,PORTFOLIO,9212.176470232613
2020-10-08,PORTFOLIO,9341.241246092304
2020-10-09,PORTFOLIO,9375.73715904471
2020-10-12,PORTFOLIO,9495.568595094852
2020-10-13,PORTFOLIO,9390.567595586095
2020-10-14,PORTFOLIO,9347.905333394536
2020-10-15,PORTFOLIO,9360.619635724308
2020-10-16,PORTFOLIO,9331.740336777235
